departamento_etl,ciudad_etl_x,periodo_etl,cont_co,cont_dviento,cont_haire10,cont_haire2,cont_no,cont_no2,cont_o3,cont_p,cont_pliquida,cont_pm10,cont_pm2.5,cont_pst,cont_rglobal,cont_ruvb,cont_so2,cont_taire10,cont_taire2,cont_vviento,ciudad_etl_y,total_vehiculos,total_clases,total_servicios,log_total_vehiculos
antioquia,amaga,2022-01,,182.28813559322035,81.63333333333334,,,,,,0.6252631578947369,51.8421052631579,,,,,,21.055,,0.9758333333333333,chigorodo,45270,14,4,10.720421929870149
antioquia,amaga,2022-01,,182.28813559322035,81.63333333333334,,,,,,0.6252631578947369,51.8421052631579,,,,,,21.055,,0.9758333333333333,ciudad bolivar,29401,18,4,10.288817978223912
antioquia,amaga,2022-01,,182.28813559322035,81.63333333333334,,,,,,0.6252631578947369,51.8421052631579,,,,,,21.055,,0.9758333333333333,copacabana,23792,33,5,10.077146698751429
antioquia,amaga,2022-01,,182.28813559322035,81.63333333333334,,,,,,0.6252631578947369,51.8421052631579,,,,,,21.055,,0.9758333333333333,don matias,3124,18,4,8.047189562170502
antioquia,amaga,2022-01,,182.28813559322035,81.63333333333334,,,,,,0.6252631578947369,51.8421052631579,,,,,,21.055,,0.9758333333333333,el bagre,3779,6,2,8.237479288613633
antioquia,amaga,2022-01,,182.28813559322035,81.63333333333334,,,,,,0.6252631578947369,51.8421052631579,,,,,,21.055,,0.9758333333333333,el carmen de viboral,11049,19,4,9.3101857069459
antioquia,amaga,2022-01,,182.28813559322035,81.63333333333334,,,,,,0.6252631578947369,51.8421052631579,,,,,,21.055,,0.9758333333333333,el santuario,12358,18,4,9.422139821589736
antioquia,amaga,2022-01,,182.28813559322035,81.63333333333334,,,,,,0.6252631578947369,51.8421052631579,,,,,,21.055,,0.9758333333333333,envigado,889299,68,5,13.698189915387731
antioquia,amaga,2022-01,,182.28813559322035,81.63333333333334,,,,,,0.6252631578947369,51.8421052631579,,,,,,21.055,,0.9758333333333333,frontino,7433,16,4,8.913819350857198
antioquia,amaga,2022-01,,182.28813559322035,81.63333333333334,,,,,,0.6252631578947369,51.8421052631579,,,,,,21.055,,0.9758333333333333,girardota,22196,32,5,10.007712423593661
antioquia,amaga,2022-01,,182.28813559322035,81.63333333333334,,,,,,0.6252631578947369,51.8421052631579,,,,,,21.055,,0.9758333333333333,guarne,1336,13,3,7.198183577101943
antioquia,amaga,2022-01,,182.28813559322035,81.63333333333334,,,,,,0.6252631578947369,51.8421052631579,,,,,,21.055,,0.9758333333333333,itagui,192478,45,5,12.16774233585004
antioquia,amaga,2022-01,,182.28813559322035,81.63333333333334,,,,,,0.6252631578947369,51.8421052631579,,,,,,21.055,,0.9758333333333333,la ceja,31984,19,4,10.373022321884237
antioquia,amaga,2022-01,,182.28813559322035,81.63333333333334,,,,,,0.6252631578947369,51.8421052631579,,,,,,21.055,,0.9758333333333333,la estrella,194296,55,4,12.17714319520516
antioquia,amaga,2022-01,,182.28813559322035,81.63333333333334,,,,,,0.6252631578947369,51.8421052631579,,,,,,21.055,,0.9758333333333333,la union,15,1,1,2.772588722239781
antioquia,amaga,2022-01,,182.28813559322035,81.63333333333334,,,,,,0.6252631578947369,51.8421052631579,,,,,,21.055,,0.9758333333333333,marinilla,32773,37,4,10.39739079710617
antioquia,amaga,2022-01,,182.28813559322035,81.63333333333334,,,,,,0.6252631578947369,51.8421052631579,,,,,,21.055,,0.9758333333333333,medellin,413322,46,4,12.931984648600604
antioquia,amaga,2022-01,,182.28813559322035,81.63333333333334,,,,,,0.6252631578947369,51.8421052631579,,,,,,21.055,,0.9758333333333333,necocli,460,3,2,6.133398042996649
antioquia,amaga,2022-01,,182.28813559322035,81.63333333333334,,,,,,0.6252631578947369,51.8421052631579,,,,,,21.055,,0.9758333333333333,puerto berrio,17435,16,4,9.766292313358283
antioquia,amaga,2022-01,,182.28813559322035,81.63333333333334,,,,,,0.6252631578947369,51.8421052631579,,,,,,21.055,,0.9758333333333333,puerto triunfo,1781,11,4,7.485491608030754
antioquia,amaga,2022-01,,182.28813559322035,81.63333333333334,,,,,,0.6252631578947369,51.8421052631579,,,,,,21.055,,0.9758333333333333,rionegro,167586,36,5,12.029257898389293
antioquia,amaga,2022-01,,182.28813559322035,81.63333333333334,,,,,,0.6252631578947369,51.8421052631579,,,,,,21.055,,0.9758333333333333,sabaneta,762011,42,5,13.54371758257628
antioquia,amaga,2022-01,,182.28813559322035,81.63333333333334,,,,,,0.6252631578947369,51.8421052631579,,,,,,21.055,,0.9758333333333333,san jeronimo,109883,26,5,11.607180542895733
antioquia,amaga,2022-01,,182.28813559322035,81.63333333333334,,,,,,0.6252631578947369,51.8421052631579,,,,,,21.055,,0.9758333333333333,santa rosa de osos,21739,32,4,9.9869091606752
antioquia,amaga,2022-01,,182.28813559322035,81.63333333333334,,,,,,0.6252631578947369,51.8421052631579,,,,,,21.055,,0.9758333333333333,santafe de antioquia,22533,27,4,10.022780558724111
antioquia,amaga,2022-01,,182.28813559322035,81.63333333333334,,,,,,0.6252631578947369,51.8421052631579,,,,,,21.055,,0.9758333333333333,segovia,1705,8,3,7.441906728051625
antioquia,amaga,2022-01,,182.28813559322035,81.63333333333334,,,,,,0.6252631578947369,51.8421052631579,,,,,,21.055,,0.9758333333333333,sonson,5428,13,3,8.599510233905452
antioquia,amaga,2022-01,,182.28813559322035,81.63333333333334,,,,,,0.6252631578947369,51.8421052631579,,,,,,21.055,,0.9758333333333333,turbo,35962,19,5,10.49024591113472
antioquia,amaga,2022-01,,182.28813559322035,81.63333333333334,,,,,,0.6252631578947369,51.8421052631579,,,,,,21.055,,0.9758333333333333,urrao,8192,12,4,9.011035410141815
antioquia,amaga,2022-01,,182.28813559322035,81.63333333333334,,,,,,0.6252631578947369,51.8421052631579,,,,,,21.055,,0.9758333333333333,yarumal,17448,17,5,9.76703761939823
antioquia,amaga,2023-01,,159.8684210526316,84.57894736842105,,,,,,0.17894736842105263,,24.91176470588235,,,,,21.231578947368423,,0.6561403508771929,amalfi,3411,14,4,8.13505390861157
antioquia,amaga,2023-01,,159.8684210526316,84.57894736842105,,,,,,0.17894736842105263,,24.91176470588235,,,,,21.231578947368423,,0.6561403508771929,andes,13849,18,4,9.536040511615484
antioquia,amaga,2023-01,,159.8684210526316,84.57894736842105,,,,,,0.17894736842105263,,24.91176470588235,,,,,21.231578947368423,,0.6561403508771929,apartado,72189,32,4,11.187056811133207
antioquia,amaga,2023-01,,159.8684210526316,84.57894736842105,,,,,,0.17894736842105263,,24.91176470588235,,,,,21.231578947368423,,0.6561403508771929,barbosa,5543,18,5,8.620471540869739
antioquia,amaga,2023-01,,159.8684210526316,84.57894736842105,,,,,,0.17894736842105263,,24.91176470588235,,,,,21.231578947368423,,0.6561403508771929,bello,77300,44,5,11.255462171102444
antioquia,amaga,2023-01,,159.8684210526316,84.57894736842105,,,,,,0.17894736842105263,,24.91176470588235,,,,,21.231578947368423,,0.6561403508771929,caldas,15459,15,5,9.646011322141414
antioquia,amaga,2023-01,,159.8684210526316,84.57894736842105,,,,,,0.17894736842105263,,24.91176470588235,,,,,21.231578947368423,,0.6561403508771929,carepa,28851,12,4,10.269934593623564
antioquia,amaga,2023-01,,159.8684210526316,84.57894736842105,,,,,,0.17894736842105263,,24.91176470588235,,,,,21.231578947368423,,0.6561403508771929,caucasia,109840,29,5,11.606789144551904
antioquia,amaga,2023-01,,159.8684210526316,84.57894736842105,,,,,,0.17894736842105263,,24.91176470588235,,,,,21.231578947368423,,0.6561403508771929,chigorodo,45270,14,4,10.720421929870149
antioquia,amaga,2023-01,,159.8684210526316,84.57894736842105,,,,,,0.17894736842105263,,24.91176470588235,,,,,21.231578947368423,,0.6561403508771929,ciudad bolivar,29401,18,4,10.288817978223912
antioquia,amaga,2023-01,,159.8684210526316,84.57894736842105,,,,,,0.17894736842105263,,24.91176470588235,,,,,21.231578947368423,,0.6561403508771929,copacabana,23792,33,5,10.077146698751429
antioquia,amaga,2023-01,,159.8684210526316,84.57894736842105,,,,,,0.17894736842105263,,24.91176470588235,,,,,21.231578947368423,,0.6561403508771929,don matias,3124,18,4,8.047189562170502
antioquia,amaga,2023-01,,159.8684210526316,84.57894736842105,,,,,,0.17894736842105263,,24.91176470588235,,,,,21.231578947368423,,0.6561403508771929,el bagre,3779,6,2,8.237479288613633
antioquia,amaga,2023-01,,159.8684210526316,84.57894736842105,,,,,,0.17894736842105263,,24.91176470588235,,,,,21.231578947368423,,0.6561403508771929,el carmen de viboral,11049,19,4,9.3101857069459
antioquia,amaga,2023-01,,159.8684210526316,84.57894736842105,,,,,,0.17894736842105263,,24.91176470588235,,,,,21.231578947368423,,0.6561403508771929,el santuario,12358,18,4,9.422139821589736
antioquia,amaga,2023-01,,159.8684210526316,84.57894736842105,,,,,,0.17894736842105263,,24.91176470588235,,,,,21.231578947368423,,0.6561403508771929,envigado,889299,68,5,13.698189915387731
antioquia,amaga,2023-01,,159.8684210526316,84.57894736842105,,,,,,0.17894736842105263,,24.91176470588235,,,,,21.231578947368423,,0.6561403508771929,frontino,7433,16,4,8.913819350857198
antioquia,amaga,2023-01,,159.8684210526316,84.57894736842105,,,,,,0.17894736842105263,,24.91176470588235,,,,,21.231578947368423,,0.6561403508771929,girardota,22196,32,5,10.007712423593661
antioquia,amaga,2023-01,,159.8684210526316,84.57894736842105,,,,,,0.17894736842105263,,24.91176470588235,,,,,21.231578947368423,,0.6561403508771929,guarne,1336,13,3,7.198183577101943
antioquia,amaga,2023-01,,159.8684210526316,84.57894736842105,,,,,,0.17894736842105263,,24.91176470588235,,,,,21.231578947368423,,0.6561403508771929,itagui,192478,45,5,12.16774233585004
antioquia,amaga,2023-01,,159.8684210526316,84.57894736842105,,,,,,0.17894736842105263,,24.91176470588235,,,,,21.231578947368423,,0.6561403508771929,la ceja,31984,19,4,10.373022321884237
antioquia,amaga,2023-01,,159.8684210526316,84.57894736842105,,,,,,0.17894736842105263,,24.91176470588235,,,,,21.231578947368423,,0.6561403508771929,la estrella,194296,55,4,12.17714319520516
antioquia,amaga,2023-01,,159.8684210526316,84.57894736842105,,,,,,0.17894736842105263,,24.91176470588235,,,,,21.231578947368423,,0.6561403508771929,la union,15,1,1,2.772588722239781
antioquia,amaga,2023-01,,159.8684210526316,84.57894736842105,,,,,,0.17894736842105263,,24.91176470588235,,,,,21.231578947368423,,0.6561403508771929,marinilla,32773,37,4,10.39739079710617
antioquia,amaga,2023-01,,159.8684210526316,84.57894736842105,,,,,,0.17894736842105263,,24.91176470588235,,,,,21.231578947368423,,0.6561403508771929,medellin,413322,46,4,12.931984648600604
antioquia,amaga,2023-01,,159.8684210526316,84.57894736842105,,,,,,0.17894736842105263,,24.91176470588235,,,,,21.231578947368423,,0.6561403508771929,necocli,460,3,2,6.133398042996649
antioquia,amaga,2023-01,,159.8684210526316,84.57894736842105,,,,,,0.17894736842105263,,24.91176470588235,,,,,21.231578947368423,,0.6561403508771929,puerto berrio,17435,16,4,9.766292313358283
antioquia,amaga,2023-01,,159.8684210526316,84.57894736842105,,,,,,0.17894736842105263,,24.91176470588235,,,,,21.231578947368423,,0.6561403508771929,puerto triunfo,1781,11,4,7.485491608030754
antioquia,amaga,2023-01,,159.8684210526316,84.57894736842105,,,,,,0.17894736842105263,,24.91176470588235,,,,,21.231578947368423,,0.6561403508771929,rionegro,167586,36,5,12.029257898389293
antioquia,amaga,2023-01,,159.8684210526316,84.57894736842105,,,,,,0.17894736842105263,,24.91176470588235,,,,,21.231578947368423,,0.6561403508771929,sabaneta,762011,42,5,13.54371758257628
antioquia,amaga,2023-01,,159.8684210526316,84.57894736842105,,,,,,0.17894736842105263,,24.91176470588235,,,,,21.231578947368423,,0.6561403508771929,san jeronimo,109883,26,5,11.607180542895733
antioquia,amaga,2023-01,,159.8684210526316,84.57894736842105,,,,,,0.17894736842105263,,24.91176470588235,,,,,21.231578947368423,,0.6561403508771929,santa rosa de osos,21739,32,4,9.9869091606752
antioquia,amaga,2023-01,,159.8684210526316,84.57894736842105,,,,,,0.17894736842105263,,24.91176470588235,,,,,21.231578947368423,,0.6561403508771929,santafe de antioquia,22533,27,4,10.022780558724111
antioquia,amaga,2023-01,,159.8684210526316,84.57894736842105,,,,,,0.17894736842105263,,24.91176470588235,,,,,21.231578947368423,,0.6561403508771929,segovia,1705,8,3,7.441906728051625
antioquia,amaga,2023-01,,159.8684210526316,84.57894736842105,,,,,,0.17894736842105263,,24.91176470588235,,,,,21.231578947368423,,0.6561403508771929,sonson,5428,13,3,8.599510233905452
antioquia,amaga,2023-01,,159.8684210526316,84.57894736842105,,,,,,0.17894736842105263,,24.91176470588235,,,,,21.231578947368423,,0.6561403508771929,turbo,35962,19,5,10.49024591113472
antioquia,amaga,2023-01,,159.8684210526316,84.57894736842105,,,,,,0.17894736842105263,,24.91176470588235,,,,,21.231578947368423,,0.6561403508771929,urrao,8192,12,4,9.011035410141815
antioquia,amaga,2023-01,,159.8684210526316,84.57894736842105,,,,,,0.17894736842105263,,24.91176470588235,,,,,21.231578947368423,,0.6561403508771929,yarumal,17448,17,5,9.76703761939823
antioquia,amaga,2024-01,,297.81353383458645,,78.75187969924812,,,,,,,22.48062015503876,,,,,,24.69624060150376,1.3067669172932332,amalfi,3411,14,4,8.13505390861157
antioquia,amaga,2024-01,,297.81353383458645,,78.75187969924812,,,,,,,22.48062015503876,,,,,,24.69624060150376,1.3067669172932332,andes,13849,18,4,9.536040511615484
antioquia,amaga,2024-01,,297.81353383458645,,78.75187969924812,,,,,,,22.48062015503876,,,,,,24.69624060150376,1.3067669172932332,apartado,72189,32,4,11.187056811133207
antioquia,amaga,2024-01,,297.81353383458645,,78.75187969924812,,,,,,,22.48062015503876,,,,,,24.69624060150376,1.3067669172932332,barbosa,5543,18,5,8.620471540869739
antioquia,amaga,2024-01,,297.81353383458645,,78.75187969924812,,,,,,,22.48062015503876,,,,,,24.69624060150376,1.3067669172932332,bello,77300,44,5,11.255462171102444
antioquia,amaga,2024-01,,297.81353383458645,,78.75187969924812,,,,,,,22.48062015503876,,,,,,24.69624060150376,1.3067669172932332,caldas,15459,15,5,9.646011322141414
antioquia,amaga,2024-01,,297.81353383458645,,78.75187969924812,,,,,,,22.48062015503876,,,,,,24.69624060150376,1.3067669172932332,carepa,28851,12,4,10.269934593623564
antioquia,amaga,2024-01,,297.81353383458645,,78.75187969924812,,,,,,,22.48062015503876,,,,,,24.69624060150376,1.3067669172932332,caucasia,109840,29,5,11.606789144551904
antioquia,amaga,2024-01,,297.81353383458645,,78.75187969924812,,,,,,,22.48062015503876,,,,,,24.69624060150376,1.3067669172932332,chigorodo,45270,14,4,10.720421929870149
antioquia,amaga,2024-01,,297.81353383458645,,78.75187969924812,,,,,,,22.48062015503876,,,,,,24.69624060150376,1.3067669172932332,ciudad bolivar,29401,18,4,10.288817978223912
antioquia,amaga,2024-01,,297.81353383458645,,78.75187969924812,,,,,,,22.48062015503876,,,,,,24.69624060150376,1.3067669172932332,copacabana,23792,33,5,10.077146698751429
antioquia,amaga,2024-01,,297.81353383458645,,78.75187969924812,,,,,,,22.48062015503876,,,,,,24.69624060150376,1.3067669172932332,don matias,3124,18,4,8.047189562170502
antioquia,amaga,2024-01,,297.81353383458645,,78.75187969924812,,,,,,,22.48062015503876,,,,,,24.69624060150376,1.3067669172932332,el bagre,3779,6,2,8.237479288613633
antioquia,amaga,2024-01,,297.81353383458645,,78.75187969924812,,,,,,,22.48062015503876,,,,,,24.69624060150376,1.3067669172932332,el carmen de viboral,11049,19,4,9.3101857069459
antioquia,amaga,2024-01,,297.81353383458645,,78.75187969924812,,,,,,,22.48062015503876,,,,,,24.69624060150376,1.3067669172932332,el santuario,12358,18,4,9.422139821589736
antioquia,amaga,2024-01,,297.81353383458645,,78.75187969924812,,,,,,,22.48062015503876,,,,,,24.69624060150376,1.3067669172932332,envigado,889299,68,5,13.698189915387731
antioquia,amaga,2024-01,,297.81353383458645,,78.75187969924812,,,,,,,22.48062015503876,,,,,,24.69624060150376,1.3067669172932332,frontino,7433,16,4,8.913819350857198
