departamento_etl,ciudad_etl,periodo_etl,cont_co,cont_dviento,cont_haire10,cont_haire2,cont_no,cont_no2,cont_o3,cont_p,cont_pliquida,cont_pm10,cont_pm2.5,cont_pst,cont_rglobal,cont_ruvb,cont_so2,cont_taire10,cont_taire2,cont_vviento,periodo_censo_vehiculos,total_vehiculos,clases_distintas,antiguedad_promedio_flota,log_total_vehiculos,mes_numerico
antioquia,barbosa,2020-01,,124.75742574257426,81.53793103448275,,,,22.66970588235294,650.8516256157636,0.00039408866995073894,30.45,12.482424242424242,,,,,20.9635960591133,,1.769306930693069,2026-04,5469,18,26.31238779174147,8.607033895416027,1
antioquia,barbosa,2021-01,,112.37226277372262,79.56189781021898,,,,22.318720000000003,648.9959854014598,0.03481751824817519,14.9,9.274615384615386,,,,,21.076934306569342,,1.7640145985401459,2026-04,5469,18,26.31238779174147,8.607033895416027,1
antioquia,barbosa,2022-01,,96.28915254237289,81.44449152542373,,,,21.78330275229358,649.707627118644,0.038644067796610164,21.72,11.67175925925926,,,,,21.155897435897433,,1.672820512820513,2026-04,5469,18,26.31238779174147,8.607033895416027,1
antioquia,barbosa,2023-01,,117.57964285714286,81.62530973451328,,,,29.403663366336634,652.2388495575221,0.01919642857142857,18.935,9.99622641509434,,,,,20.35150442477876,,1.6253097345132743,2026-04,5469,18,26.31238779174147,8.607033895416027,1
antioquia,barbosa,2024-01,,128.6678947368421,,80.39330827067668,,,24.063643410852713,651.3875187969925,0.0006716417910447761,36.93,12.951416666666667,,,,,,21.799624060150375,1.6881954887218045,2026-04,5469,18,26.31238779174147,8.607033895416027,1
antioquia,bello,2020-01,,138.30543209876544,61.7120987654321,,,,21.741834319526628,480.0578787878788,,23.398891966759003,12.215555555555557,,188.60940594059406,,,17.047277227722773,,1.6109693877551021,2026-04,77220,44,26.978692138133724,11.254426719747327,1
antioquia,bello,2021-01,,130.6160583941606,67.22116788321168,,,,16.351509433962264,638.651111111111,,31.03846153846154,11.080172413793104,,174.63576642335767,,,20.673722627737227,,1.206299212598425,2026-04,77220,44,26.978692138133724,11.254426719747327,1
antioquia,bello,2022-01,,136.31833333333333,68.4,,,,20.28626168224299,638.7383333333333,,25.30701754385965,13.247142857142858,,167.37983193277313,,,20.58655462184874,,1.2222222222222223,2026-04,77220,44,26.978692138133724,11.254426719747327,1
antioquia,bello,2023-01,,161.51666666666668,69.43097345132743,,,,20.292038834951455,639.7570093457944,,23.77777777777778,12.30137614678899,,150.97719298245616,,,19.730701754385965,,1.1666666666666667,2026-04,77220,44,26.978692138133724,11.254426719747327,1
antioquia,bello,2024-01,,159.51203007518797,,,,,24.040526315789474,639.6438461538461,,21.8503937007874,14.678636363636363,,183.48345864661653,,,,21.23233082706767,1.1525862068965516,2026-04,77220,44,26.978692138133724,11.254426719747327,1
antioquia,caldas,2020-01,,217.90295566502465,72.35812807881774,,,,28.03185185185185,617.5425,,28.5,14.26481012658228,,166.43141361256545,,,20.014358974358974,,0.7040697674418605,2026-04,15448,15,20.125265392781316,9.64529955531205,1
antioquia,caldas,2021-01,,188.32116788321167,81.72905109489051,,,,18.643425925925925,616.0723357664234,0.1245985401459854,25.939999999999998,14.344357976653697,,,,,18.145912408759123,,1.461970802919708,2026-04,15448,15,20.125265392781316,9.64529955531205,1
antioquia,caldas,2022-01,,184.02791666666664,81.53541666666666,,,,16.754197530864197,616.7855833333334,0.09050420168067226,28.98,16.474125560538116,,,,,18.786166666666666,,1.0026666666666666,2026-04,15448,15,20.125265392781316,9.64529955531205,1
antioquia,caldas,2023-01,,,,,,,,,,28.365,13.62761904761905,,,,,,,,2026-04,15448,15,20.125265392781316,9.64529955531205,1
antioquia,caldas,2024-01,,,,,,,,,,31.455,17.45646153846154,,,,,,,,2026-04,15448,15,20.125265392781316,9.64529955531205,1
